Input1,Input2,Input3,Input4,Input5,Input6
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.133355870842933655e-02,-1.040654480457305908e-01,3.025778941810131073e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.133355870842933655e-02,-1.040654480457305908e-01,3.025778941810131073e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.133355870842933655e-02,-1.040654480457305908e-01,3.025778941810131073e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.133355870842933655e-02,-1.040654480457305908e-01,3.025778941810131073e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.133355870842933655e-02,-1.040654480457305908e-01,3.025778941810131073e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.768585294485092163e-02,-8.774258941411972046e-02,8.527643978595733643e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.768585294485092163e-02,-8.774258941411972046e-02,8.527643978595733643e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.768585294485092163e-02,-8.774258941411972046e-02,8.527643978595733643e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.768585294485092163e-02,-8.774258941411972046e-02,8.527643978595733643e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.768585294485092163e-02,-8.774258941411972046e-02,8.527643978595733643e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.238056346774101257e-01,-5.077070370316505432e-02,1.035368070006370544e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.238056346774101257e-01,-5.077070370316505432e-02,1.035368070006370544e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.238056346774101257e-01,-5.077070370316505432e-02,1.035368070006370544e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.238056346774101257e-01,-5.077070370316505432e-02,1.035368070006370544e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.238056346774101257e-01,-5.077070370316505432e-02,1.035368070006370544e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.591226011514663696e-01,1.427486091852188110e-01,3.514446318149566650e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.591226011514663696e-01,1.427486091852188110e-01,3.514446318149566650e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.591226011514663696e-01,1.427486091852188110e-01,3.514446318149566650e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.591226011514663696e-01,1.427486091852188110e-01,3.514446318149566650e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.591226011514663696e-01,1.427486091852188110e-01,3.514446318149566650e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.837682723999023438e-02,-6.789341568946838379e-04,9.791242331266403198e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.837682723999023438e-02,-6.789341568946838379e-04,9.791242331266403198e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.837682723999023438e-02,-6.789341568946838379e-04,9.791242331266403198e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.837682723999023438e-02,-6.789341568946838379e-04,9.791242331266403198e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.837682723999023438e-02,-6.789341568946838379e-04,9.791242331266403198e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.759202778339385986e-01,-1.882456690073013306e-01,-1.386633366346359253e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.759202778339385986e-01,-1.882456690073013306e-01,-1.386633366346359253e-01
