Roll,Pitch,Yaw
2.765339151295507364e-02,-3.288261000721356270e-02,-1.944420406591112593e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.776493553233682059e-04,3.967134518204702871e-04,2.133116277204530342e-02
-4.929706306114636739e-04,7.047244365283182642e-04,3.792206715056312821e-02
-7.691438195225344882e-04,1.100238536509099861e-03,5.925322992362329344e-02
-1.105753221753658089e-03,1.583001782328653144e-03,8.532465109230347178e-02
-1.502319763791994936e-03,2.152743509473697969e-03,1.161363306585509875e-01
9.881765574732037823e-04,4.500231518065400844e-03,-1.081746485429841004e-01
1.246643770088458900e-03,5.688443132523401599e-03,-1.369085396263739485e-01
1.533657019036921247e-03,7.013451788180588044e-03,-1.690228885378877999e-01
1.848639076852099565e-03,8.474430328475137525e-03,-2.045176953104455853e-01
2.190961715453722692e-03,1.007049616230715032e-02,-2.433929599882243278e-01
-1.112730623054352525e-02,-1.257897331130395334e-02,-4.451993824649058684e-01
-1.286775671245081465e-02,-1.457623331435542284e-02,-5.163259112793936456e-01
-1.472652670784786386e-02,-1.671844125743231907e-02,-5.927210719901775393e-01
-1.670152817362760209e-02,-1.900510650245681998e-02,-6.743848646515406831e-01
-1.879055812528307792e-02,-2.143571973931800850e-02,-7.613172893315832690e-01
2.124495500406002949e-02,2.082686614721195734e-02,2.157505243573720477e-01
2.362852052796949112e-02,2.314728771094288692e-02,2.403887014770731412e-01
2.613251389325846330e-02,2.558137688560133821e-02,2.663586719368986611e-01
2.875576739838901080e-02,2.812746102164416853e-02,2.936604357310432789e-01
3.149707047092949880e-02,3.078380465038083394e-02,3.222939928524375386e-01
1.293839587221632184e-02,-2.301389745776237158e-02,8.058102275892843336e-01
1.402676884727620948e-02,-2.500926942692602295e-02,8.774039552962747956e-01
1.515151005196107258e-02,-2.708180837805502020e-02,9.520442252499856650e-01
1.631148361813510722e-02,-2.923064770275121682e-02,1.029731037587879205e+00
1.750552133080900824e-02,-3.145489347514586476e-02,1.110464392464374450e+00
2.765339151295507364e-02,-3.288261000721356270e-02,-1.944420406591112593e+00
