Roll,Pitch,Yaw
-3.016387355867817047e-02,-3.946311385722868666e-03,-3.446924704035247533e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.428274005461633259e-05,-2.191520297764795050e-04,1.309964338498170906e-02
1.674004897176601986e-04,-3.892631539299297731e-04,2.328825490671201925e-02
2.611821251971745616e-04,-6.076498257649943970e-04,3.638789829199690073e-02
3.754865750572236442e-04,-8.741333940129675717e-04,5.239857354115712296e-02
5.101512932907387296e-04,-1.188517713693372025e-03,7.132028065477048762e-02
6.946422520289677717e-04,1.891490121616697410e-03,-5.800769758864179892e-02
8.774464695230440757e-04,2.390884779654545590e-03,-7.341599226614937967e-02
1.080997341482977303e-03,2.947763552884698039e-03,-9.063702749856791807e-02
1.305069516153771264e-03,3.561775674054094322e-03,-1.096708032887319939e-01
1.549419557410882872e-03,4.232546933405454716e-03,-1.305173196404454117e-01
-7.747990016118968745e-03,-3.041794949619448622e-03,3.531702299302892367e-01
-8.972988535399023177e-03,-3.514392934790619774e-03,4.095938758420089032e-01
-1.028531224858721116e-02,-4.018141701832561065e-03,4.701970509375102414e-01
-1.168433454511744879e-02,-4.552271947863732043e-03,5.349797551625355974e-01
-1.316939871210328489e-02,-5.115971404923227300e-03,6.039419884510940362e-01
1.894154464159250942e-02,8.191260153536628844e-04,-4.139706475957681264e-01
2.105882392199431158e-02,9.248780602154265751e-04,-4.612450717998233252e-01
2.328134097067719593e-02,1.039018039946445733e-03,-5.110748697331777279e-01
2.560779509446286378e-02,1.161951072146389600e-03,-5.634600412475220255e-01
2.803683642820149410e-02,1.294098309737712728e-03,-6.184005861722485786e-01
-3.016387355867817047e-02,-3.946311385722868666e-03,-3.446924704035247533e+00
