Input1,Input2,Input3,Input4,Input5,Input6
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.980482578277587891e-02,-5.791495367884635925e-02,7.239708676934242249e-03
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.980482578277587891e-02,-5.791495367884635925e-02,7.239708676934242249e-03
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.980482578277587891e-02,-5.791495367884635925e-02,7.239708676934242249e-03
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.980482578277587891e-02,-5.791495367884635925e-02,7.239708676934242249e-03
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.980482578277587891e-02,-5.791495367884635925e-02,7.239708676934242249e-03
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.293418407440185547e-01,-1.678575947880744934e-02,2.349188923835754395e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.293418407440185547e-01,-1.678575947880744934e-02,2.349188923835754395e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.293418407440185547e-01,-1.678575947880744934e-02,2.349188923835754395e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.293418407440185547e-01,-1.678575947880744934e-02,2.349188923835754395e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.293418407440185547e-01,-1.678575947880744934e-02,2.349188923835754395e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.724030196666717529e-02,-1.163214296102523804e-01,-2.156452983617782593e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.724030196666717529e-02,-1.163214296102523804e-01,-2.156452983617782593e-01
