Roll Rate,Pitch Rate,Yaw Rate
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-4.332540735200812038e-02,1.275944083488099977e-02,-2.855063483774389343e-01
-3.362686981679721687e-02,9.897918398630510886e-03,-2.220604931527237758e-01
-4.316545222367101226e-02,1.269875462984506286e-02,-2.855063482617259396e-01
-5.266549113303430757e-02,1.548316538101884160e-02,-3.489522032483958203e-01
-6.212283342873284320e-02,1.824882528225715492e-02,-4.123980580148808306e-01
1.425909535119381510e-01,3.493853445234205712e-01,-3.948384907701474766e+00
-2.458439244852013081e-02,1.103946960982606640e-01,-1.461683481566164344e+00
-2.751884327570163977e-02,1.230565701255714323e-01,-1.633646253502055057e+00
-3.047033002874395893e-02,1.356259395457038164e-01,-1.805609031190008595e+00
-3.344105270592313828e-02,1.480961178084594931e-01,-1.977571816581170872e+00
-7.308527816952304912e-01,-1.227499672750948401e+00,1.653678958237373919e+01
-1.482109872680305307e-01,-4.583121321873450532e-02,6.638917377968108768e-01
-1.586922407874263030e-01,-4.900338885564115704e-02,7.130688930680882942e-01
-1.690805994750273489e-01,-5.213251369667261381e-02,7.622460443879236491e-01
-1.793715423997983838e-01,-5.521633829080060951e-02,8.114231909162757939e-01
2.544162134343213921e+00,-1.114945717906604239e+00,-5.274843854666927001e+01
1.088305655453914583e-01,-1.783344144172946955e-01,-5.212242635467900342e+00
1.148294167579496511e-01,-1.868596537585219541e-01,-5.493985591006023128e+00
1.208491388805450345e-01,-1.952232231019330189e-01,-5.775728574923877368e+00
1.268904562115122925e-01,-2.034186077630273926e-01,-6.057471591009977452e+00
-2.818745750520442961e+00,2.564647261923774124e+00,-8.757352207829509894e+01
