Roll,Pitch,Yaw
-1.771397321863868099e-02,-2.039180993607144984e-02,-8.787868821669138075e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.807388298138751963e-04,1.456252935188249162e-04,-2.601234992543551006e-02
-3.210870618752250608e-04,2.585547434311150951e-04,-4.624417764517331497e-02
-5.013344858099304593e-04,4.033924858656165956e-04,-7.225652757043168894e-02
-7.213859083567856828e-04,5.799154799727663590e-04,-1.040493997010216581e-01
-9.811429470795570915e-04,7.878663268237785658e-04,-1.416227940366001914e-01
4.821845391805652976e-03,4.763792245531762656e-03,-1.283234829737618099e-01
6.091496471738592697e-03,6.024014404532559638e-03,-1.624094081367174203e-01
7.505597372693600944e-03,7.430523078979847477e-03,-2.005054421411338328e-01
9.062698408886099566e-03,8.982833931904368741e-03,-2.426115849866517793e-01
1.076123496450479347e-02,1.068044211368229628e-02,-2.887278366731134693e-01
-2.379451944045642836e-02,1.282169244606712333e-02,2.178398969496403437e-01
-2.754050820558737178e-02,1.485785412326613188e-02,2.526427193146673078e-01
-3.154865372452098776e-02,1.704191293336971419e-02,2.900235278350896673e-01
-3.581603244435154626e-02,1.937340178897639653e-02,3.299823222551531154e-01
-4.033957115189291259e-02,2.185183893373782160e-02,3.725191022661573093e-01
-1.771397321863868099e-02,-2.039180993607144984e-02,-8.787868821669138075e-01
