Input1,Input2,Input3,Input4,Input5,Input6
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.615015536546707153e-02,1.103147789835929871e-01,-1.524730324745178223e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.615015536546707153e-02,1.103147789835929871e-01,-1.524730324745178223e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.615015536546707153e-02,1.103147789835929871e-01,-1.524730324745178223e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.615015536546707153e-02,1.103147789835929871e-01,-1.524730324745178223e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.615015536546707153e-02,1.103147789835929871e-01,-1.524730324745178223e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.195682168006896973e-02,4.802705720067024231e-03,3.675411641597747803e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.195682168006896973e-02,4.802705720067024231e-03,3.675411641597747803e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.195682168006896973e-02,4.802705720067024231e-03,3.675411641597747803e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.195682168006896973e-02,4.802705720067024231e-03,3.675411641597747803e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.195682168006896973e-02,4.802705720067024231e-03,3.675411641597747803e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.265629082918167114e-02,2.778631635010242462e-02,4.927472770214080811e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.265629082918167114e-02,2.778631635010242462e-02,4.927472770214080811e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.265629082918167114e-02,2.778631635010242462e-02,4.927472770214080811e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.265629082918167114e-02,2.778631635010242462e-02,4.927472770214080811e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.265629082918167114e-02,2.778631635010242462e-02,4.927472770214080811e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.095883339643478394e-01,-1.906674802303314209e-01,-1.721983999013900757e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.095883339643478394e-01,-1.906674802303314209e-01,-1.721983999013900757e-01
