Roll,Pitch,Yaw
1.179091847759645637e-02,3.959494756935279247e-02,1.626243806773048917e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.455706111684518612e-04,3.913703721355793930e-04,-2.267457094748978608e-02
4.359870500872545869e-04,6.952275588550335152e-04,-4.031034835141297096e-02
6.801818528123667034e-04,1.085400842321692250e-03,-6.298491930014978035e-02
9.777611017396277415e-04,1.561634458369351918e-03,-9.069828379502323235e-02
1.328269112745273164e-03,2.123655017282659579e-03,-1.234504418384219371e-01
-6.360969144667960075e-03,9.583374014802446134e-03,-1.716446784193191577e-01
-8.047632269387755902e-03,1.210738219979653682e-02,-2.172377963944985835e-01
-9.932019436206878174e-03,1.491883868512845941e-02,-2.681948108256195229e-01
-1.201411609757434794e-02,1.801495384029389718e-02,-3.245157218478372241e-01
-1.429394151255584770e-02,2.139271732688953487e-02,-3.862005296407992616e-01
-1.396436353480207809e-02,9.324585095340535632e-03,-3.076734171740341250e-01
-1.617466518721333291e-02,1.078411750203282088e-02,-3.568283412714570724e-01
-1.854328424856397858e-02,1.234320349359290317e-02,-4.096243705897073539e-01
-2.106924827882416043e-02,1.400016435410160465e-02,-4.660615050260366043e-01
-2.375154044327006803e-02,1.575323044754387003e-02,-5.261397444549072988e-01
-3.869670231911355451e-02,1.691378424306428513e-02,-1.882247371764423846e-02
-4.302405292825496608e-02,1.880364092321457070e-02,-2.097195349451098922e-02
-4.756692337326130088e-02,2.078727443870283589e-02,-2.323762128241362024e-02
-5.232272805832312301e-02,2.286350367976209413e-02,-2.561947705847727325e-02
-5.728878578529043863e-02,2.503110373911948683e-02,-2.811752079637434842e-02
1.179091847759645637e-02,3.959494756935279247e-02,1.626243806773048917e+00
