Roll Rate,Pitch Rate,Yaw Rate
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.377487368434419761e-02,-9.965081420519449756e-03,-1.977981259187481688e+00
-1.068312395411926373e-02,-7.744733104613891507e-03,-1.538429868246090182e+00
-1.370291817058582468e-02,-9.954954136406516524e-03,-1.977981259145426884e+00
-1.670255076054526222e-02,-1.216625737059246447e-02,-2.417532650000755901e+00
-1.967896324966892860e-02,-1.437983351946619560e-02,-2.857084040777586598e+00
-3.468722200431809122e-01,3.105954495496344725e-01,6.230149375207105322e+00
-1.113311194401906540e-01,6.748168898394052428e-02,-1.205634602126515853e+00
-1.241800326572253116e-01,7.514555499472706790e-02,-1.347473961841471501e+00
-1.369618168351403598e-01,8.272794541720621120e-02,-1.489313318324422708e+00
-1.496723097310834749e-01,9.022233945807844879e-02,-1.631152670459282028e+00
8.609000021762017729e-01,-1.401211115843615795e+00,1.419653132230564729e+01
-1.321301469689160381e-02,-1.307887199149987134e-01,6.365125667322980574e-01
-1.419891819458406895e-02,-1.400153477191497520e-01,6.836616543273734692e-01
-1.518724162630606320e-02,-1.491553163935895598e-01,7.308107451466615556e-01
-1.617821806532350470e-02,-1.582043585920272222e-01,7.779598398722824548e-01
1.046726180950217966e+00,2.645605378386746143e+00,2.325534825387483906e+01
1.025666559753278112e-01,1.374606745068864544e-01,3.433736000955633916e+00
1.079671867811233393e-01,1.440838376575466762e-01,3.619343382942024956e+00
1.133499141476501937e-01,1.505908695683918774e-01,3.804950772740400833e+00
1.187141805875428086e-01,1.569772597853086871e-01,3.990558171374197549e+00
-1.112649771538630317e+00,-2.811612199242284671e+00,1.183579709556129700e+02
