Roll Rate,Pitch Rate,Yaw Rate
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-3.311611114669795602e-02,-2.976507812498164433e-03,2.573939810224061819e-01
-2.570216618276523202e-02,-2.306760964591886114e-03,2.001953185559762205e-01
-3.299180954067022081e-02,-2.956655467824816520e-03,2.573939809562177383e-01
-4.025123026723597536e-02,-3.600589919070605605e-03,3.145926432864999400e-01
-4.747708865079527940e-02,-4.237559552047706277e-03,3.717913054908882908e-01
2.681331328904713596e-01,-1.318759278520795220e-01,-9.260274787205990066e+00
2.349327481544343302e-02,-3.898123619398195100e-02,-2.087522321418851412e+00
2.624817176334118610e-02,-4.342763703866297370e-02,-2.333113183885167530e+00
2.900314616128896877e-02,-4.783326401985241172e-02,-2.578704047033036684e+00
3.175870065842591877e-02,-5.219494209313785965e-02,-2.824294911089031412e+00
-1.035024594407913112e-01,7.133465078986831465e-01,1.487551409223231680e+01
1.502260507825967095e-02,6.042170507458933387e-02,-4.484600858371250998e-01
1.606568007288811106e-02,6.469100576633034227e-02,-4.816793526768315958e-01
1.709533001421257095e-02,6.892168659359239336e-02,-5.148986199764934435e-01
1.811085881443048884e-02,7.311186172882172540e-02,-5.481178878337211735e-01
-2.156964366696537128e-01,-4.732436030260019910e-01,-1.085976046755373545e+02
