Roll Rate,Pitch Rate,Yaw Rate
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.914460786802401823e-02,-1.174914336767693586e-02,0.000000000000000000e+00
1.485839122821736372e-02,-9.118670382180320971e-03,0.000000000000000000e+00
1.907230146164469106e-02,-1.170476855599084098e-02,0.000000000000000000e+00
2.326857334375301636e-02,-1.428004198188341511e-02,0.000000000000000000e+00
2.744524049778960390e-02,-1.684328388294881532e-02,0.000000000000000000e+00
1.071104935398316804e-01,1.289127616063174275e-01,0.000000000000000000e+00
5.566058501862594654e-02,1.721201969924128147e-02,0.000000000000000000e+00
6.205690342339594684e-02,1.918996435072725659e-02,0.000000000000000000e+00
6.841065043735622409e-02,2.115474455565364079e-02,0.000000000000000000e+00
7.471887980242181149e-02,2.310544923045984231e-02,0.000000000000000000e+00
-3.951265352807442066e-01,2.859121899385771645e-02,0.000000000000000000e+00
1.208608795356610685e-02,2.752101632143540491e-02,0.000000000000000000e+00
1.293920890746699283e-02,2.946364286462153231e-02,0.000000000000000000e+00
1.378442638949907428e-02,3.138827253913877013e-02,0.000000000000000000e+00
1.462135287546672928e-02,3.329402291787141033e-02,0.000000000000000000e+00
-4.726130648514424437e-01,-3.102083939766878684e-01,0.000000000000000000e+00
-3.830270498960185177e-02,-1.573334937285582064e-03,0.000000000000000000e+00
-4.020921389701345716e-02,-1.651647343214702980e-03,0.000000000000000000e+00
-4.209266837933928196e-02,-1.729012757126091896e-03,0.000000000000000000e+00
-4.395221561878260436e-02,-1.805396148301849878e-03,0.000000000000000000e+00
-1.486322519117106999e+00,-7.921765452606182034e-01,0.000000000000000000e+00
-1.716030679530869407e-01,-6.998675908709527105e-02,0.000000000000000000e+00
-1.780309103910429624e-01,-7.260829301190453722e-02,0.000000000000000000e+00
-1.843607445823406410e-01,-7.518985448479002798e-02,0.000000000000000000e+00
-1.905897450241552382e-01,-7.773029108374372720e-02,0.000000000000000000e+00
-1.649272399937226519e+00,1.301078248342447452e+00,0.000000000000000000e+00
-3.037665130418990000e-01,1.339317850427997579e-02,0.000000000000000000e+00
-3.126218809796986187e-01,1.378361310481052149e-02,0.000000000000000000e+00
-3.213100521919843855e-01,1.416667565568197236e-02,0.000000000000000000e+00
-3.298272131197488299e-01,1.454219799572097419e-02,0.000000000000000000e+00
5.767031225966447572e+00,-2.263554295767725044e+00,0.000000000000000000e+00
7.665824048256166326e-03,-1.168428234372655833e-01,0.000000000000000000e+00
7.842502928636306200e-03,-1.195357650537007266e-01,0.000000000000000000e+00
