Roll,Pitch,Yaw
-1.663453383403917796e-02,1.917749976036365938e-03,6.348059517411054342e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-4.388381769622874771e-04,1.002718702110956279e-03,-4.214306080167734558e-02
-7.802560911552494779e-04,1.780578987410343051e-03,-7.492099698595658386e-02
-1.219570490266686522e-03,2.778574913699781868e-03,-1.170640578078353811e-01
-1.757173548592948741e-03,3.995431111361079021e-03,-1.685722432885846389e-01
-2.393584621669295285e-03,5.429691132041538672e-03,-2.294455534663527030e-01
3.365300050845656133e-03,-2.992448643255603280e-03,-1.714772142259053667e-01
4.255926184080828859e-03,-3.779449546302391608e-03,-2.170258492419676888e-01
5.250114707717883598e-03,-4.655516781841317550e-03,-2.679331471901972295e-01
6.347581064139168512e-03,-5.619596212473551046e-03,-3.241991080635984179e-01
7.548031409142313096e-03,-6.670546819423297732e-03,-3.858237318525399306e-01
1.016235731875641569e-02,-1.655787131659785735e-02,-2.241737406313170367e-01
1.177515539687523996e-02,-1.916370694328133062e-02,-2.599884808744781783e-01
1.350478197682313669e-02,-2.195163703788266876e-02,-2.984561651389668890e-01
1.535080102463281214e-02,-2.491957147955692689e-02,-3.395767935360587408e-01
1.731276093027134949e-02,-2.806531262686649819e-02,-3.833503661998844958e-01
-1.808142632461693169e-02,2.668632471008042240e-02,-4.202680066412289861e-01
-2.012340538868929302e-02,2.965644882013285591e-02,-4.682615770357626550e-01
-2.227147900440160436e-02,3.277136128801919762e-02,-5.188493950672647959e-01
-2.452508306418150347e-02,3.602881110463450332e-02,-5.720314608896973629e-01
-2.688363316504166489e-02,3.942646146598725865e-02,-6.278077746786125957e-01
-1.663453383403917796e-02,1.917749976036365938e-03,6.348059517411054342e-01
