Input1,Input2,Input3,Input4,Input5,Input6
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.611812368035316467e-02,-1.415192615240812302e-02,8.675460517406463623e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.611812368035316467e-02,-1.415192615240812302e-02,8.675460517406463623e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.611812368035316467e-02,-1.415192615240812302e-02,8.675460517406463623e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.611812368035316467e-02,-1.415192615240812302e-02,8.675460517406463623e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.611812368035316467e-02,-1.415192615240812302e-02,8.675460517406463623e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.055654421448707581e-02,-1.817559301853179932e-01,-1.334637403488159180e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.055654421448707581e-02,-1.817559301853179932e-01,-1.334637403488159180e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.055654421448707581e-02,-1.817559301853179932e-01,-1.334637403488159180e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.055654421448707581e-02,-1.817559301853179932e-01,-1.334637403488159180e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.055654421448707581e-02,-1.817559301853179932e-01,-1.334637403488159180e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.299804687500000000e-01,-7.228855788707733154e-02,-1.565517485141754150e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.299804687500000000e-01,-7.228855788707733154e-02,-1.565517485141754150e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.299804687500000000e-01,-7.228855788707733154e-02,-1.565517485141754150e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.299804687500000000e-01,-7.228855788707733154e-02,-1.565517485141754150e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.299804687500000000e-01,-7.228855788707733154e-02,-1.565517485141754150e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.328101336956024170e-02,4.643658176064491272e-02,-3.253624215722084045e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.328101336956024170e-02,4.643658176064491272e-02,-3.253624215722084045e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.328101336956024170e-02,4.643658176064491272e-02,-3.253624215722084045e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.328101336956024170e-02,4.643658176064491272e-02,-3.253624215722084045e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.328101336956024170e-02,4.643658176064491272e-02,-3.253624215722084045e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.308562844991683960e-02,-4.146137088537216187e-02,-6.869079917669296265e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.308562844991683960e-02,-4.146137088537216187e-02,-6.869079917669296265e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.308562844991683960e-02,-4.146137088537216187e-02,-6.869079917669296265e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.308562844991683960e-02,-4.146137088537216187e-02,-6.869079917669296265e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.308562844991683960e-02,-4.146137088537216187e-02,-6.869079917669296265e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.137625873088836670e-01,-1.453740894794464111e-01,8.730143308639526367e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.137625873088836670e-01,-1.453740894794464111e-01,8.730143308639526367e-02
