Roll,Pitch,Yaw
-2.072620385851613092e-03,-7.793342135835579741e-03,-1.193636397419347850e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.057582669557217794e-05,2.502273499962508379e-06,1.934287801719623834e-02
1.878481982295390673e-05,4.440305290625923462e-06,3.438733869723744480e-02
2.932314430917555117e-05,6.922795043262575915e-06,5.373021671443247577e-02
4.218196441565887951e-05,9.943575031927923456e-06,7.737151206878005449e-02
5.735155154428883093e-05,1.349538062649822078e-05,1.053112247602778634e-01
6.481749984840929485e-03,1.805911004810305471e-03,4.996608735416012415e-02
8.192844263462254958e-03,2.280975189802609583e-03,6.323832924804195788e-02
1.010078512914744202e-02,2.809863046299371572e-03,7.807201131498270330e-02
1.220433365526720285e-02,3.391958819341218609e-03,9.446713352445081091e-02
1.450216701671970705e-02,4.026596820410508967e-03,1.124236958354902366e-01
5.426180774767151759e-04,8.196630800061490904e-03,-1.051512562725588351e+00
6.054850507455570695e-04,9.491027129959316716e-03,-1.219505695184779581e+00
6.658394307917269361e-04,1.087716266548490428e-02,-1.399942763939868939e+00
7.221941498960505459e-04,1.235423577551897877e-02,-1.592823769201419992e+00
7.729737341926360902e-04,1.392139482229569000e-02,-1.798148711224867968e+00
-2.715303310325321851e-02,3.417193630566693618e-02,-1.387609330585641620e+00
-3.027457611073143193e-02,3.792452802752955404e-02,-1.546070896089185132e+00
-3.357015944270322350e-02,4.184860180644695005e-02,-1.713097953537031870e+00
-3.704064252804187968e-02,4.593952413020088027e-02,-1.888690503353501526e+00
-4.068690638383850450e-02,5.019246480121936776e-02,-2.072848545992762137e+00
-2.072620385851613092e-03,-7.793342135835579741e-03,-1.193636397419347850e-01
