Roll Rate,Pitch Rate,Yaw Rate
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-5.042013980990234061e-03,-7.761217648808218898e-03,-4.163433007132026908e-01
-3.911906815221173270e-03,-6.024411135962422226e-03,-3.238225672222603269e-01
-5.019706577614110703e-03,-7.734024705774715513e-03,-4.163433007166318922e-01
-6.121640761897923465e-03,-9.437279356527602386e-03,-5.088640342146332207e-01
-7.216926085941042721e-03,-1.113354936541271871e-02,-6.013847677191742624e-01
6.021194875238979061e-02,2.872733272803560944e-01,3.783819360626855310e+00
8.718532948371606264e-03,6.470382561527265874e-02,4.029694328312030671e-01
9.738095835723612273e-03,7.213698372295668237e-02,4.503776023189163258e-01
1.075678403183561588e-02,7.951986929042291485e-02,4.977857723700903625e-01
1.177470361937616068e-02,8.684897815804211441e-02,5.451939431765199240e-01
4.031908139785734396e-02,-1.000478311285862426e-01,-2.748075972401775147e+01
1.744595806340600019e-02,7.086647015560765261e-02,-3.845083063276927060e+00
1.850327207513532621e-02,7.591200771438809392e-02,-4.129904045333732121e+00
1.951289897982519742e-02,8.091982604203108720e-02,-4.414725032846233965e+00
2.047209213879954554e-02,8.588803718949378219e-02,-4.699546026989064984e+00
-1.034463209865450484e+00,-1.085274137079590862e+00,1.770040355492532314e+01
-9.413120319027371008e-02,-3.686906611956954766e-02,-2.678643053592291601e+00
-9.875530145190043740e-02,-3.886174787636736266e-02,-2.823434548940040312e+00
-1.033133243917296329e-01,-4.085579841041986349e-02,-2.968226038684790069e+00
-1.078027488721206295e-01,-4.285130129234792501e-02,-3.113017522005006921e+00
1.705473799159818116e+00,2.325968115523253221e+00,-9.544498471886615221e+01
