Roll,Pitch,Yaw
-2.683420182352205807e-02,6.157496797546942180e-02,5.139678616519657295e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-5.421929807547790818e-04,9.644190840416203936e-05,-2.812746721798914731e-02
-9.630495510185059982e-04,1.709923347117443967e-04,-5.000438616409799003e-02
-1.503331381133727121e-03,2.662996608868771313e-04,-7.813185337735312208e-02
-2.162589537003821536e-03,3.819870866484947761e-04,-1.125098688527469831e-01
-2.940329970489234754e-03,5.176052841002955641e-04,-1.531384325812623626e-01
-4.615104874237154972e-03,-1.051760249534688420e-02,-5.739590532600382516e-02
-5.830230523941604126e-03,-1.329467460983716799e-02,-7.264169283599188065e-02
-7.183560505011702020e-03,-1.639150571692688310e-02,-8.968110253783224961e-02
-8.673694779469208818e-03,-1.980617705438877940e-02,-1.085141345125296003e-01
-1.029912270358581544e-02,-2.353664262412548738e-02,-1.291407888688167749e-01
3.084598989250669256e-03,2.362209150661813070e-02,-1.945035262293753064e-01
3.559051362566060216e-03,2.734982791356068907e-02,-2.255780558104534539e-01
4.063290726663898109e-03,3.134116886114642064e-02,-2.589544032424118125e-01
4.596236914121920591e-03,3.559377211710847838e-02,-2.946325688434053847e-01
5.156748648247795781e-03,4.010518049705449201e-02,-3.326125529991953433e-01
-5.870892770932931853e-02,-6.468460014118809949e-03,-5.904262810149741858e-01
-6.526635966282576251e-02,-7.254321341047627845e-03,-6.578514827614766469e-01
-7.214857479854251687e-02,-8.093102171408267376e-03,-7.289212825390207762e-01
-7.935135982216504069e-02,-8.986398620002559318e-03,-8.036356783460021358e-01
-8.687033868837003292e-02,-9.935869931309916289e-03,-8.819946678818191277e-01
-2.683420182352205807e-02,6.157496797546942180e-02,5.139678616519657295e-01
