Roll,Pitch,Yaw
-1.291454610786808843e-02,-2.787246609877755410e-02,3.200667254042868226e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.313980868562566170e-04,6.440729164929812067e-04,1.248119439877281786e-02
5.887584956922435348e-04,1.143865460959826936e-03,2.218879004284061290e-02
9.193109159495712951e-04,1.785296807166463677e-03,3.466998444386126116e-02
1.322901676569224281e-03,2.567695348360269497e-03,4.992477760420707678e-02
1.799375960656320527e-03,3.490306237981880607e-03,6.795316952814149658e-02
-2.081814777484345975e-03,-3.192189718274310913e-03,-2.709770009408493108e-01
-2.627101157547909790e-03,-4.037371014067552347e-03,-3.429552668648825908e-01
-3.232991074063349800e-03,-4.981008681716618362e-03,-4.234015641155963738e-01
-3.898388993800202748e-03,-6.022888438179774262e-03,-5.123158927189486178e-01
-4.622102467333234072e-03,-7.162791201188125137e-03,-6.096982527101536542e-01
1.347453320648492325e-02,5.208682186415574886e-03,-2.409693886850671762e-01
1.559669901357348468e-02,6.038860676982687851e-03,-2.794674561006057489e-01
1.786764326100611852e-02,6.930252272720534984e-03,-3.208172319208931200e-01
2.028576367939812636e-02,7.882856028742897536e-03,-3.650187160365346850e-01
2.284937624484740387e-02,8.896676213202739381e-03,-4.120719083153126516e-01
2.385012710654774767e-03,1.929460931979667601e-02,5.434957652253080695e-01
2.670627088924737002e-03,2.144962928798601481e-02,6.055616418000305812e-01
2.974633692896232109e-03,2.371137338281921816e-02,6.709824313621770564e-01
3.297486549789307476e-03,2.607845639579570163e-02,7.397581341100843977e-01
3.639657716239515315e-03,2.854943992428581392e-02,8.118887502717109239e-01
-1.291454610786808843e-02,-2.787246609877755410e-02,3.200667254042868226e+00
