Roll Rate,Pitch Rate,Yaw Rate
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-9.391665897705797281e-03,-1.994064813684765652e-02,1.244837252615357492e+00
-7.298747098611397220e-03,-1.547161615581511135e-02,9.682067520575473596e-01
-9.381264726339237289e-03,-1.985351453934347532e-02,1.244837252706280539e+00
-1.146449166363448964e-02,-2.421261072785962226e-02,1.521467753450873817e+00
-1.354949127289497082e-02,-2.854588221285643893e-02,1.798098254367582527e+00
-4.956884342994686415e-02,-2.150820821383758186e-01,-1.727695316081539545e+01
-2.623963562926056800e-02,-8.537522660667871965e-02,-2.788931265717596641e+00
-2.909377267401418166e-02,-9.523593134407844218e-02,-3.117040836598036879e+00
-3.187485552782337583e-02,-1.050473604671849637e-01,-3.445150413766664865e+00
-3.457625710941496927e-02,-1.148064187829437588e-01,-3.773259999389513730e+00
-1.518900907903720232e-01,1.862489855132662298e+00,1.702104163322294994e+01
-5.944333433955430179e-02,1.795230997824470709e-01,-1.054892729746895075e+00
-6.376038827612620641e-02,1.921550765513450609e-01,-1.133032956060091356e+00
-6.806371670770738902e-02,2.046612696961344346e-01,-1.211173191415093608e+00
-7.235290028246732508e-02,2.170354000743664746e-01,-1.289313437714322053e+00
1.125556837920039355e+00,-1.098961457367574779e+00,1.292344242364143470e-01
5.418449455259947978e-02,9.337343604673489783e-02,-1.274675678700594394e+00
5.680727532570159499e-02,9.806427528610150990e-02,-1.343577074406980598e+00
5.938626955642273969e-02,1.027053472790421390e-01,-1.412478472196285084e+00
6.191982389245802298e-02,1.072948133937373927e-01,-1.481379872390103936e+00
-2.807020296348632815e+00,-5.741201358239155006e+00,-7.500688201515270492e+00
-1.766822588880917477e-01,-3.893106434424323248e-01,-2.147858957869952512e+00
-1.827847270247376921e-01,-4.041289685837258228e-01,-2.239257545265321614e+00
-1.887262810311433059e-01,-4.187516913574252930e-01,-2.330656202918940156e+00
-1.945023811958715987e-01,-4.331729897118239969e-01,-2.422054939158596376e+00
4.194030471062044629e-01,8.025879131582598802e+00,-1.132602285421771597e+02
