Roll,Pitch,Yaw
-2.737080721036265138e-02,-1.314993346438791399e-01,-3.262079060373288986e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.789105174398754500e-04,-1.032487403323091189e-03,-3.002413119573556222e-02
-4.947680639028083143e-04,-1.833979253046770074e-03,-5.337623324137002329e-02
-7.710592416898142580e-04,-2.862989237002048007e-03,-8.340036445465366655e-02
-1.106941645645028284e-03,-4.118722854833809649e-03,-1.200965248541592811e-01
-1.501416810429046780e-03,-5.600312705175060357e-03,-1.634647144733485657e-01
-4.203057346087772650e-03,1.933892562480514412e-03,-3.166917796953280795e-02
-5.312620781974691266e-03,2.443647464427942031e-03,-4.008130335412166817e-02
-6.549836591763868662e-03,3.011665534606381908e-03,-4.948309053732830032e-02
-7.913903712646308194e-03,3.637453152037312554e-03,-5.987453951219562365e-02
-9.403966969771648116e-03,4.320479524480359650e-03,-7.125565026938987523e-02
2.781197782538101602e-03,-9.534067095501974620e-03,-1.859179917080006350e-01
3.224577822402686055e-03,-1.103661019591733669e-02,-2.156208663720790009e-01
3.700682042843299064e-03,-1.264479350060315060e-02,-2.475239540961590712e-01
4.209516744141639753e-03,-1.435754603234064633e-02,-2.816272549259373759e-01
4.751091497271699333e-03,-1.617374297677365291e-02,-3.179307689167107376e-01
-5.070117701462699411e-02,-1.366162879526817801e-02,5.512283127093146051e-01
-5.638375934388865224e-02,-1.513867344589535195e-02,6.141772107253514745e-01
-6.235212454638318358e-02,-1.667808205127712523e-02,6.805287469439553760e-01
-6.860327416629999342e-02,-1.827728617338663167e-02,7.502829200278244848e-01
-7.513409508118790159e-02,-1.993361719781350933e-02,8.234397284342224177e-01
2.150009431939335896e-03,-1.057888603928770765e-01,7.362532321320008899e-01
2.228423564009084437e-03,-1.148976218115369125e-01,8.016671019333511117e-01
2.291380478315361690e-03,-1.243478084846124654e-01,8.698645582784066965e-01
2.336703379577805256e-03,-1.341342144553899496e-01,9.408456048262624494e-01
2.362158030519957708e-03,-1.442514774237335096e-01,1.014610245655799714e+00
-2.737080721036265138e-02,-1.314993346438791399e-01,-3.262079060373288986e+00
