Input1,Input2,Input3,Input4,Input5,Input6
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.493904024362564087e-02,1.395310275256633759e-02,-1.572040915489196777e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.493904024362564087e-02,1.395310275256633759e-02,-1.572040915489196777e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.493904024362564087e-02,1.395310275256633759e-02,-1.572040915489196777e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.493904024362564087e-02,1.395310275256633759e-02,-1.572040915489196777e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.493904024362564087e-02,1.395310275256633759e-02,-1.572040915489196777e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.481974422931671143e-01,9.123263880610466003e-03,9.881313890218734741e-04
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.481974422931671143e-01,9.123263880610466003e-03,9.881313890218734741e-04
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.481974422931671143e-01,9.123263880610466003e-03,9.881313890218734741e-04
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.481974422931671143e-01,9.123263880610466003e-03,9.881313890218734741e-04
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.481974422931671143e-01,9.123263880610466003e-03,9.881313890218734741e-04
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.265840955078601837e-02,3.396253287792205811e-02,-1.581413745880126953e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.265840955078601837e-02,3.396253287792205811e-02,-1.581413745880126953e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.265840955078601837e-02,3.396253287792205811e-02,-1.581413745880126953e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.265840955078601837e-02,3.396253287792205811e-02,-1.581413745880126953e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.265840955078601837e-02,3.396253287792205811e-02,-1.581413745880126953e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.235138565301895142e-01,7.663642615079879761e-02,4.801924526691436768e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.235138565301895142e-01,7.663642615079879761e-02,4.801924526691436768e-02
