Roll,Pitch,Yaw
-1.525176482408760359e+00,4.164770209228170206e-01,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.300926644950151220e-03,-4.678059265854305729e-04,0.000000000000000000e+00
-2.310593554001980684e-03,-8.308764852282656942e-04,0.000000000000000000e+00
-3.606606788006061059e-03,-1.296915576203502059e-03,0.000000000000000000e+00
-5.187767774690656489e-03,-1.865492199027182383e-03,0.000000000000000000e+00
-7.052744321502968025e-03,-2.536127303623308352e-03,0.000000000000000000e+00
-3.114313592542636549e-03,3.769123244348998700e-04,0.000000000000000000e+00
-3.936242652171685098e-03,4.763869543404671415e-04,0.000000000000000000e+00
-4.852624904414029605e-03,5.872928582594935318e-04,0.000000000000000000e+00
-5.862831705650862167e-03,7.095539540313422358e-04,0.000000000000000000e+00
-6.966190905391429072e-03,8.430888940218128277e-04,0.000000000000000000e+00
5.399316686151269841e-03,1.921900021256881929e-03,0.000000000000000000e+00
6.251007347249590458e-03,2.225061400520071935e-03,0.000000000000000000e+00
7.162816314909893969e-03,2.549622037879059350e-03,0.000000000000000000e+00
8.134186641647405194e-03,2.895383686312211994e-03,0.000000000000000000e+00
9.164534071607685281e-03,3.262138378276808245e-03,0.000000000000000000e+00
-3.819982714271633051e-02,1.654370084818931885e-02,0.000000000000000000e+00
-4.247104585605813304e-02,1.839349328446096207e-02,0.000000000000000000e+00
-4.695486363988606027e-02,2.033535865609821178e-02,0.000000000000000000e+00
-5.164870966484742809e-02,2.236818354982893914e-02,0.000000000000000000e+00
-5.654991800489691384e-02,2.449081336340688114e-02,0.000000000000000000e+00
1.216346926871747676e-02,3.484442061066673341e-03,0.000000000000000000e+00
1.321054731881760036e-02,3.784396182852315087e-03,0.000000000000000000e+00
1.429684640714338345e-02,4.095585867076013964e-03,0.000000000000000000e+00
1.542176850982172887e-02,4.417839798932782572e-03,0.000000000000000000e+00
1.658469836220592339e-02,4.750981724668452456e-03,0.000000000000000000e+00
-5.682364102967833557e-03,7.802032129679359329e-02,0.000000000000000000e+00
-6.077600178001415533e-03,8.344700852795332302e-02,0.000000000000000000e+00
-6.484358218544493228e-03,8.903189393789649742e-02,0.000000000000000000e+00
-6.902420695147720026e-03,9.477199061117926038e-02,0.000000000000000000e+00
-7.331565117393902715e-03,1.006642435041890937e-01,0.000000000000000000e+00
-1.147364965371985013e-01,1.120827128576844384e-01,0.000000000000000000e+00
-1.213893082825136249e-01,1.185816280894566310e-01,0.000000000000000000e+00
-1.281954536115536003e-01,1.252303262706524478e-01,0.000000000000000000e+00
-1.351513722543900842e-01,1.320253290472187535e-01,0.000000000000000000e+00
-1.422534395622322145e-01,1.389630951542381032e-01,0.000000000000000000e+00
-1.279979231991209276e-01,7.477902329717406316e-02,0.000000000000000000e+00
-1.343193280842920334e-01,7.847210981976734945e-02,0.000000000000000000e+00
-1.407562356686727356e-01,8.223267402085883415e-02,0.000000000000000000e+00
-1.473053379823632825e-01,8.605878320111599866e-02,0.000000000000000000e+00
-1.539632800926592493e-01,8.994847722122205347e-02,0.000000000000000000e+00
3.716811429502229341e-02,3.622142250395629648e-01,0.000000000000000000e+00
3.875576789431899039e-02,3.776860480926210184e-01,0.000000000000000000e+00
4.036620649015554979e-02,3.933798720440075947e-01,0.000000000000000000e+00
4.199861507397921467e-02,4.092877513703622183e-01,0.000000000000000000e+00
4.365216978033022166e-02,4.254016542069546936e-01,0.000000000000000000e+00
-1.185568352456906477e-01,-1.516164087815689149e-02,0.000000000000000000e+00
-1.229858779209593023e-01,-1.572804835569215770e-02,0.000000000000000000e+00
-1.274636216335377215e-01,-1.630068388917344305e-02,0.000000000000000000e+00
-1.319878286825125757e-01,-1.687926130631655156e-02,0.000000000000000000e+00
-1.365562436422662895e-01,-1.746349216816586378e-02,0.000000000000000000e+00
3.354887164081046258e-01,4.620863657642437783e-02,0.000000000000000000e+00
3.465396561700072597e-01,4.773072745918590515e-02,0.000000000000000000e+00
3.576793526403688750e-01,4.926504190835510888e-02,0.000000000000000000e+00
3.689023038630713791e-01,5.081082205954959991e-02,0.000000000000000000e+00
3.802029790995231640e-01,5.236730608632754469e-02,0.000000000000000000e+00
-4.103374153023443133e-02,4.920213971571421596e-01,0.000000000000000000e+00
-4.223253723181165376e-02,5.063952275741178122e-01,0.000000000000000000e+00
-4.343772746540931762e-02,5.208456886063600466e-01,0.000000000000000000e+00
-4.464872352101142278e-02,5.353657201997464865e-01,0.000000000000000000e+00
-4.586493508350924370e-02,5.499482431645225100e-01,0.000000000000000000e+00
-2.754153576728171071e-01,1.628491261008788438e-01,0.000000000000000000e+00
-2.825795705846487760e-01,1.670851831705320867e-01,0.000000000000000000e+00
-2.897638688209269175e-01,1.713331136269772570e-01,0.000000000000000000e+00
-2.969647782493662347e-01,1.755908632409841352e-01,0.000000000000000000e+00
-3.041788237239231307e-01,1.798563771929459487e-01,0.000000000000000000e+00
2.289190453554893270e-03,-4.781594807249979762e-01,0.000000000000000000e+00
2.342340509834585621e-03,-4.892609682004163685e-01,0.000000000000000000e+00
2.395510658265997267e-03,-5.003666322624209517e-01,0.000000000000000000e+00
2.448675444022738699e-03,-5.114711561427266462e-01,0.000000000000000000e+00
2.501809465241719085e-03,-5.225692342173223759e-01,0.000000000000000000e+00
-2.569938854238847936e-01,-5.452688774413111394e-01,0.000000000000000000e+00
-2.623247767874269387e-01,-5.565790565589504579e-01,0.000000000000000000e+00
-2.676449530820939060e-01,-5.678664792266040484e-01,0.000000000000000000e+00
-2.729518925105246518e-01,-5.791257955809566704e-01,0.000000000000000000e+00
-2.782430845823894994e-01,-5.903516798593435588e-01,0.000000000000000000e+00
-3.510067331386291234e-01,-7.003478699417615694e-01,0.000000000000000000e+00
-3.575093515750503159e-01,-7.133214028557532949e-01,0.000000000000000000e+00
-3.639832530923908793e-01,-7.262376098015159709e-01,0.000000000000000000e+00
-3.704253998737193632e-01,-7.390904315222656118e-01,0.000000000000000000e+00
-3.768327752481420156e-01,-7.518738511391880319e-01,0.000000000000000000e+00
-2.205584660992585266e-01,1.160793645994990519e-01,0.000000000000000000e+00
-2.242008838965205419e-01,1.179963521078256500e-01,0.000000000000000000e+00
-2.278181524318296236e-01,1.199001034727575216e-01,0.000000000000000000e+00
-2.314085926074634370e-01,1.217897350143000296e-01,0.000000000000000000e+00
-2.349705414823150540e-01,1.236643715572281615e-01,0.000000000000000000e+00
-1.582395948789567380e-02,3.074936942804681883e-01,0.000000000000000000e+00
-1.605617952310635366e-02,3.120061905323356921e-01,0.000000000000000000e+00
-1.628618519291240296e-02,3.164756568010022031e-01,0.000000000000000000e+00
-1.651387094588779511e-02,3.209000421636136191e-01,0.000000000000000000e+00
-1.673913254847287160e-02,3.252773213136857522e-01,0.000000000000000000e+00
-1.156453752404461577e-01,8.087525493453491254e-01,0.000000000000000000e+00
-1.171461381021484532e-01,8.192474181127188393e-01,0.000000000000000000e+00
-1.186282985000295803e-01,8.296122046460583377e-01,0.000000000000000000e+00
-1.200911845732996752e-01,8.398422133743421725e-01,0.000000000000000000e+00
-1.215341349917751640e-01,8.499328224567930246e-01,0.000000000000000000e+00
1.966781536667140395e-01,3.892043280404882122e-01,0.000000000000000000e+00
1.989192604914175322e-01,3.936391869942560406e-01,0.000000000000000000e+00
2.011254132085012469e-01,3.980048784619165669e-01,0.000000000000000000e+00
2.032956265209193703e-01,4.022994529973447086e-01,0.000000000000000000e+00
2.054289342568436094e-01,4.065209990064753698e-01,0.000000000000000000e+00
7.694520033819043751e-03,6.596203741298873879e-01,0.000000000000000000e+00
7.770778168176284417e-03,6.661575894193140224e-01,0.000000000000000000e+00
7.845564789294826730e-03,6.725686745996400928e-01,0.000000000000000000e+00
7.918847054745449185e-03,6.788508155644985553e-01,0.000000000000000000e+00
7.990592905881903699e-03,6.850012654021726544e-01,0.000000000000000000e+00
-1.177565933980743607e+00,6.038861241425601545e-01,0.000000000000000000e+00
-1.187585207161031553e+00,6.090242861029265820e-01,0.000000000000000000e+00
-1.197366731576256393e+00,6.140405698581727911e-01,0.000000000000000000e+00
-1.206906302443109702e+00,6.189328216590742615e-01,0.000000000000000000e+00
-1.216199838906094177e+00,6.236989512839690164e-01,0.000000000000000000e+00
-9.046158533215166164e-01,4.316011780002951825e-01,0.000000000000000000e+00
-9.111051199714790272e-01,4.346973675935794645e-01,0.000000000000000000e+00
-9.174042560547983616e-01,4.377028647730652477e-01,0.000000000000000000e+00
-9.235106272059507848e-01,4.406164135049507324e-01,0.000000000000000000e+00
-9.294216963833076273e-01,4.434368041680028516e-01,0.000000000000000000e+00
-7.156088995071426817e-01,-6.555673062901968828e-01,0.000000000000000000e+00
-7.198277256557739090e-01,-6.594324844887056170e-01,0.000000000000000000e+00
-7.238917112947633736e-01,-6.631558531855701322e-01,0.000000000000000000e+00
-7.277992198717043726e-01,-6.667359142761372093e-01,0.000000000000000000e+00
-7.315486928558418978e-01,-6.701712410781489604e-01,0.000000000000000000e+00
-1.258521533994041874e+00,-1.156680808925594883e+00,0.000000000000000000e+00
-1.264392075523467440e+00,-1.162078938489407243e+00,0.000000000000000000e+00
-1.269984819204860838e+00,-1.167221977381412756e+00,0.000000000000000000e+00
-1.275297638553130719e+00,-1.172107975446139871e+00,0.000000000000000000e+00
-1.280328545144922225e+00,-1.176735109066608054e+00,0.000000000000000000e+00
-9.937446874443029987e-01,-8.445990475963559285e-02,0.000000000000000000e+00
-9.971956048591976707e-01,-8.475326425861744173e-02,0.000000000000000000e+00
-1.000424645984124616e+00,-8.502777015673616823e-02,0.000000000000000000e+00
-1.003430706617686408e+00,-8.528332864451779183e-02,0.000000000000000000e+00
-1.006212791270322038e+00,-8.551985514535612176e-02,0.000000000000000000e+00
-1.071331805518092456e-01,4.333872973792384786e-01,0.000000000000000000e+00
-1.073807046717357300e-01,4.343887621519884057e-01,0.000000000000000000e+00
-1.076041911365297199e-01,4.352929950551836513e-01,0.000000000000000000e+00
-1.078035806497005394e-01,4.360997562224089297e-01,0.000000000000000000e+00
-1.079788255476762937e-01,4.368088528320095421e-01,0.000000000000000000e+00
-1.525176482408760359e+00,4.164770209228170206e-01,0.000000000000000000e+00
