Input1,Input2,Input3,Input4,Input5,Input6
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.573893129825592041e-02,-3.158422559499740601e-02,1.614754050970077515e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.573893129825592041e-02,-3.158422559499740601e-02,1.614754050970077515e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.573893129825592041e-02,-3.158422559499740601e-02,1.614754050970077515e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.573893129825592041e-02,-3.158422559499740601e-02,1.614754050970077515e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.573893129825592041e-02,-3.158422559499740601e-02,1.614754050970077515e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.593427270650863647e-02,-5.934933945536613464e-02,-1.177769228816032410e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.593427270650863647e-02,-5.934933945536613464e-02,-1.177769228816032410e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.593427270650863647e-02,-5.934933945536613464e-02,-1.177769228816032410e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.593427270650863647e-02,-5.934933945536613464e-02,-1.177769228816032410e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.593427270650863647e-02,-5.934933945536613464e-02,-1.177769228816032410e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.550089359283447266e-01,6.717929989099502563e-02,-1.074188202619552612e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.550089359283447266e-01,6.717929989099502563e-02,-1.074188202619552612e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.550089359283447266e-01,6.717929989099502563e-02,-1.074188202619552612e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.550089359283447266e-01,6.717929989099502563e-02,-1.074188202619552612e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.550089359283447266e-01,6.717929989099502563e-02,-1.074188202619552612e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.136346116662025452e-02,-2.691879123449325562e-02,-4.041281342506408691e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.136346116662025452e-02,-2.691879123449325562e-02,-4.041281342506408691e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.136346116662025452e-02,-2.691879123449325562e-02,-4.041281342506408691e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.136346116662025452e-02,-2.691879123449325562e-02,-4.041281342506408691e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.136346116662025452e-02,-2.691879123449325562e-02,-4.041281342506408691e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.280873417854309082e-01,1.226264238357543945e-01,-5.758736655116081238e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.280873417854309082e-01,1.226264238357543945e-01,-5.758736655116081238e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.280873417854309082e-01,1.226264238357543945e-01,-5.758736655116081238e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.280873417854309082e-01,1.226264238357543945e-01,-5.758736655116081238e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.280873417854309082e-01,1.226264238357543945e-01,-5.758736655116081238e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.746066153049468994e-02,-1.211291849613189697e-01,2.824476361274719238e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.746066153049468994e-02,-1.211291849613189697e-01,2.824476361274719238e-02
