Input1,Input2,Input3,Input4,Input5,Input6
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.554178535938262939e-01,-1.573859006166458130e-01,-1.208889335393905640e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.554178535938262939e-01,-1.573859006166458130e-01,-1.208889335393905640e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.554178535938262939e-01,-1.573859006166458130e-01,-1.208889335393905640e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.554178535938262939e-01,-1.573859006166458130e-01,-1.208889335393905640e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.554178535938262939e-01,-1.573859006166458130e-01,-1.208889335393905640e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.465121805667877197e-01,1.472187042236328125e-01,-8.578244596719741821e-04
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.465121805667877197e-01,1.472187042236328125e-01,-8.578244596719741821e-04
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.465121805667877197e-01,1.472187042236328125e-01,-8.578244596719741821e-04
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.465121805667877197e-01,1.472187042236328125e-01,-8.578244596719741821e-04
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.465121805667877197e-01,1.472187042236328125e-01,-8.578244596719741821e-04
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.365542322397232056e-02,4.932552576065063477e-02,1.217288821935653687e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.365542322397232056e-02,4.932552576065063477e-02,1.217288821935653687e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.365542322397232056e-02,4.932552576065063477e-02,1.217288821935653687e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.365542322397232056e-02,4.932552576065063477e-02,1.217288821935653687e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.365542322397232056e-02,4.932552576065063477e-02,1.217288821935653687e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.484248697757720947e-02,-5.628737807273864746e-02,-9.492537379264831543e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.484248697757720947e-02,-5.628737807273864746e-02,-9.492537379264831543e-02
