Roll Rate,Pitch Rate,Yaw Rate
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.518177399303657069e-02,1.094040432428412292e-02,-5.948462974536916636e-01
1.954136206157203876e-02,8.496879127553260205e-03,-4.626582313342905151e-01
2.508008901714698508e-02,1.091421402072464270e-02,-5.948462973814002686e-01
3.059315386882196369e-02,1.332712152945026221e-02,-7.270343633521868520e-01
3.607743198457357553e-02,1.573570424305733781e-02,-8.592224291857599727e-01
-3.960655363708227017e-01,4.544931947029538510e-01,-2.691906569000762417e+00
-6.880334723312701850e-02,1.354827807890231495e-01,-1.575292845436631506e+00
-7.685456880512976652e-02,1.509786366365329369e-01,-1.760621427408012751e+00
-8.490053332806954400e-02,1.663466631925659966e-01,-1.945950016647320036e+00
-9.294220412374475104e-02,1.815772421168274087e-01,-2.131278615597835380e+00
5.557176672143310237e-01,-4.196962459254375832e-01,-2.960061336510114671e+01
-5.967794144397063974e-03,1.148643141922034427e-01,-6.860919095724487882e+00
-6.893055785012046181e-03,1.229480755235609901e-01,-7.369135396933246263e+00
-7.919054642882311645e-03,1.309497817785935936e-01,-7.877351725117309300e+00
-9.051779847178725857e-03,1.388646767388040659e-01,-8.385568085953376993e+00
-2.183359913689925769e+00,-2.940648125810621849e+00,6.134790599311142500e+01
