Roll,Pitch,Yaw
-4.763569602763323418e-02,-1.420169723260527282e-02,7.982274180032901123e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-4.220926131283120612e-04,6.965753162175618513e-04,-2.187231283898941059e-02
-7.499835711930737071e-04,1.237015599329656596e-03,-3.888411171477786782e-02
-1.171251345066952766e-03,1.930493464704489655e-03,-6.075642455772846395e-02
-1.685794330309411775e-03,2.776192428340494827e-03,-8.748925137201335467e-02
-2.293529776235843712e-03,3.773186184950739607e-03,-1.190825921651173097e-01
-9.908341153928851633e-03,6.088541144311114539e-03,-2.526340429162949874e-01
-1.253070855864217570e-02,7.683431325320440840e-03,-3.197399600886766113e-01
-1.545805893700025364e-02,9.455644556241931883e-03,-3.947406906437339047e-01
-1.868956513527585822e-02,1.140199925489188311e-02,-4.776362343307579694e-01
-2.222437018793489705e-02,1.351903318757776210e-02,-5.684265908103711684e-01
-3.939316714947037334e-02,1.311273673779132266e-02,-3.586000207704809761e-01
-4.561943337875471599e-02,1.514389382143076050e-02,-4.158911403472035362e-01
-5.228893285821305248e-02,1.730702539558211933e-02,-4.774260426190974349e-01
-5.939835300723794731e-02,1.959842863418401193e-02,-5.432047260937108435e-01
-6.694422047127070174e-02,2.201419242409618018e-02,-6.132271889570481971e-01
-5.219302968255594422e-02,9.089169834903194564e-03,-7.593989079436858081e-01
-5.804124019874867813e-02,1.003384177107528516e-02,-8.461203664463656793e-01
-6.418316285067166005e-02,1.100971684700993887e-02,-9.375294638322900775e-01
-7.061563462882866626e-02,1.201384612744861580e-02,-1.033626198065068502e+00
-7.733536709757721228e-02,1.304316454053649349e-02,-1.134410566796558939e+00
-4.763569602763323418e-02,-1.420169723260527282e-02,7.982274180032901123e-01
