Roll,Pitch,Yaw
1.088368509958400135e-02,1.550498609819155917e-02,-2.818399859434624677e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.274501359046591994e-04,2.392902793110761694e-06,-3.798454814824138871e-03
1.292033926198924787e-03,4.304322370247764827e-06,-6.752808559382149876e-03
2.016736120130563793e-03,6.827749630489959126e-06,-1.055126337301845289e-02
2.900886315520860396e-03,1.001313261604677956e-05,-1.519381925447763071e-02
3.943739341830242856e-03,1.392150235105202496e-05,-2.068047620150068738e-02
-4.454931970864703383e-03,1.336132238534450730e-03,2.435348156740677894e-01
-5.629114441117841205e-03,1.693960151953373275e-03,3.082237509524501928e-01
-6.937448167512605054e-03,2.095481293858182312e-03,3.805231490924036453e-01
-8.378773470267242632e-03,2.541264584150196640e-03,4.604330100254239722e-01
-9.951840166702889331e-03,3.031941758653170470e-03,5.479533336599818893e-01
3.593282802083765798e-02,5.422253313560138066e-03,-2.810967161693420646e-01
4.159685521419629467e-02,6.304188735822070441e-03,-3.260056532714266098e-01
4.765943352989041731e-02,7.256511672439492321e-03,-3.742411755079564362e-01
5.411658802109039351e-02,8.280334091299815236e-03,-4.258032818289480548e-01
6.096414253257515653e-02,9.376839495090083174e-03,-4.806919709633797333e-01
3.299578271529669468e-03,1.593679680643899851e-02,-4.424756802783543219e-01
3.655772801478883970e-03,1.772135781513555636e-02,-4.930053115977998113e-01
4.026883907108569013e-03,1.959531310115562169e-02,-5.462662747425398591e-01
4.412274200862913859e-03,2.155767008061235460e-02,-6.022585698213692718e-01
4.811281534441526342e-03,2.360739868478813758e-02,-6.609821969596705316e-01
-2.742974982505249140e-02,3.989947732901674704e-02,-4.547164426502905976e-02
-2.979349300428653716e-02,4.333246873555201412e-02,-4.951165833591620463e-02
-3.224620480001570699e-02,4.689375699929824309e-02,-5.372358798057152302e-02
-3.478658482756695480e-02,5.058134720668217704e-02,-5.810743321584356524e-02
-3.741329508444643515e-02,5.439318700777819732e-02,-6.266319406049813967e-02
1.088368509958400135e-02,1.550498609819155917e-02,-2.818399859434624677e+00
