Roll Rate,Pitch Rate,Yaw Rate
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.633221764399297310e-02,1.898030899881049047e-02,-1.860251772174421614e+00
1.266178823642035225e-02,1.474280404645502383e-02,-1.446862489479611380e+00
1.623484671598825202e-02,1.893929055822406865e-02,-1.860251772216006572e+00
1.977949823207625010e-02,2.312972206937090672e-02,-2.273641054997224575e+00
2.329114137533282863e-02,2.731460684540524750e-02,-2.687030337860486728e+00
-1.147155961162920484e-01,1.621875647254892860e-01,1.408807369171340973e+01
-6.871078167352233715e-03,7.002642093434482962e-02,1.051884636281978702e+00
-7.610790541274678814e-03,7.807851976792774817e-02,1.175635772797063661e+00
-8.328876317256516879e-03,8.607863781962751815e-02,1.299386911051034987e+00
-9.023365426063634231e-03,9.402320600691475849e-02,1.423138051636918533e+00
-4.004876682558737855e-01,5.308187996904108197e-02,-6.304627361101391614e+01
