Roll Rate,Pitch Rate,Yaw Rate
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-3.197944136602335480e-02,-1.241444783916144205e-02,-3.100826521004117708e+00
-2.480454669876841142e-02,-9.673956852226529846e-03,-2.411753960617584180e+00
-3.181966570981491910e-02,-1.246768781122849397e-02,-3.100826520369142525e+00
-3.879061856704596467e-02,-1.528734630814920781e-02,-3.789899079452731190e+00
-4.571080777922044425e-02,-1.813972703201540901e-02,-4.478971637339328460e+00
-4.724220198722913211e-01,-5.197678653736732823e-02,1.194338752125001690e+01
-1.703105432134592589e-01,-3.196524351039811696e-02,-1.311892684286472432e+00
-1.898536819316282431e-01,-3.578991288762754103e-02,-1.466232979705922590e+00
-2.092571361569643684e-01,-3.963976411252793236e-02,-1.620573262647784230e+00
-2.285109025359549906e-01,-4.351795761088125131e-02,-1.774913528875087021e+00
1.056127027913701610e+00,3.370982644450953303e-01,1.000160998232726151e+01
-6.110185632036643083e-02,1.042374176034778152e-02,-1.774798930946673292e-01
-6.541603803551067353e-02,1.115258824423636524e-02,-1.906265513304639114e-01
-6.969050859420262978e-02,1.187317726265699896e-02,-2.037732093737008032e-01
-7.392332318620796483e-02,1.258508890112004265e-02,-2.169198671835750880e-01
7.275263655097231608e-01,1.279431722577604402e+00,1.145153586004381907e+01
8.314076404209065629e-03,1.555842151366204351e-01,1.090797041881370832e+00
8.833845389747426932e-03,1.633228296973833205e-01,1.149759071640414687e+00
9.364508894887728710e-03,1.709669032261794397e-01,1.208721108790349108e+00
9.906506445553114187e-03,1.785129208276406421e-01,1.267683154443893789e+00
-3.577874145210149681e+00,-2.514312216991436255e+00,-1.448969581306436680e+02
