Roll,Pitch,Yaw
-1.136812899899384242e-02,1.032634660664512316e-02,-1.074567510880555243e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.542609129113640389e-04,-7.990081931748239333e-04,-2.340332147411975164e-02
-4.512290924574692379e-04,-1.419246126361669268e-03,-4.160590484491914071e-02
-7.035851110421318224e-04,-2.215536745398474002e-03,-6.500922632698018233e-02
-1.010741582944942431e-03,-3.187255606657879263e-03,-9.361328592870724052e-02
-1.372008164554245095e-03,-4.333720038379605156e-03,-1.274180836652412108e-01
3.227920819234844033e-03,3.591493906908085378e-03,6.499801122913223539e-02
4.080951157916419721e-03,4.538355039210103040e-03,8.226310796679468795e-02
5.032562462326166039e-03,5.593527498289156512e-03,1.015593925600068725e-01
6.082283711610640166e-03,6.756123194212148263e-03,1.228868650112059924e-01
7.229616373485591753e-03,8.025187696781455049e-03,1.462455253236174257e-01
-1.136812899899384242e-02,1.032634660664512316e-02,-1.074567510880555243e+00
