Roll,Pitch,Yaw
-9.541073902416014052e-03,7.351172225864040580e-03,-1.038375268472676360e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.985292354337957287e-06,7.504940914470034944e-04,7.913125656118066148e-03
5.418825713877128978e-06,1.332962319505710119e-03,1.406777894488663548e-02
8.692795591302482889e-06,2.080620669173665303e-03,2.198090460363850626e-02
1.291654008510944550e-05,2.992777182105206633e-03,3.165250263515730078e-02
1.822343874719623967e-05,4.068662658669505022e-03,4.308257304445189256e-02
7.004975163214118526e-03,4.689757846863545562e-03,5.012251112810800491e-02
8.854852701852423263e-03,5.925795760520493997e-03,6.343630310472160583e-02
1.091786909562657282e-02,7.303040843255267055e-03,7.831642351420513293e-02
1.319279204067038205e-02,8.820273873087614361e-03,9.476287233503404017e-02
1.567830902841149676e-02,1.047618323694762647e-02,1.127756495382814667e-01
-1.079556105097239510e-02,7.665754996977459891e-04,3.017631942559143021e-01
-1.249784265694254062e-02,8.960836677096068901e-04,3.499738815312948281e-01
-1.432008730539861829e-02,1.037357639126371004e-03,4.017557305506245235e-01
-1.626113759263187256e-02,1.190857758358805684e-03,4.571087412100757752e-01
-1.831977769590641472e-02,1.357072516445598275e-03,5.160329133839001159e-01
-9.541073902416014052e-03,7.351172225864040580e-03,-1.038375268472676360e+00
