Input1,Input2,Input3,Input4,Input5,Input6
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.193232834339141846e-03,1.144333370029926300e-02,-6.876766681671142578e-03
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.193232834339141846e-03,1.144333370029926300e-02,-6.876766681671142578e-03
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.193232834339141846e-03,1.144333370029926300e-02,-6.876766681671142578e-03
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.193232834339141846e-03,1.144333370029926300e-02,-6.876766681671142578e-03
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.193232834339141846e-03,1.144333370029926300e-02,-6.876766681671142578e-03
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.764146685600280762e-01,-2.257205918431282043e-02,-1.485363245010375977e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.764146685600280762e-01,-2.257205918431282043e-02,-1.485363245010375977e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.764146685600280762e-01,-2.257205918431282043e-02,-1.485363245010375977e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.764146685600280762e-01,-2.257205918431282043e-02,-1.485363245010375977e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.764146685600280762e-01,-2.257205918431282043e-02,-1.485363245010375977e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.430180490016937256e-02,-1.202565133571624756e-01,-2.027483433485031128e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.430180490016937256e-02,-1.202565133571624756e-01,-2.027483433485031128e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.430180490016937256e-02,-1.202565133571624756e-01,-2.027483433485031128e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.430180490016937256e-02,-1.202565133571624756e-01,-2.027483433485031128e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.430180490016937256e-02,-1.202565133571624756e-01,-2.027483433485031128e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.230388373136520386e-02,-7.058951258659362793e-02,-6.731750816106796265e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.230388373136520386e-02,-7.058951258659362793e-02,-6.731750816106796265e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.230388373136520386e-02,-7.058951258659362793e-02,-6.731750816106796265e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.230388373136520386e-02,-7.058951258659362793e-02,-6.731750816106796265e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.230388373136520386e-02,-7.058951258659362793e-02,-6.731750816106796265e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.108690381050109863e-04,-1.656364649534225464e-03,-1.936543583869934082e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.108690381050109863e-04,-1.656364649534225464e-03,-1.936543583869934082e-01
