Input1,Input2,Input3,Input4,Input5,Input6
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.618569493293762207e-01,-3.970814868807792664e-02,3.747406601905822754e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.618569493293762207e-01,-3.970814868807792664e-02,3.747406601905822754e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.618569493293762207e-01,-3.970814868807792664e-02,3.747406601905822754e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.618569493293762207e-01,-3.970814868807792664e-02,3.747406601905822754e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.618569493293762207e-01,-3.970814868807792664e-02,3.747406601905822754e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.367176622152328491e-01,-6.908358633518218994e-02,7.497573643922805786e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.367176622152328491e-01,-6.908358633518218994e-02,7.497573643922805786e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.367176622152328491e-01,-6.908358633518218994e-02,7.497573643922805786e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.367176622152328491e-01,-6.908358633518218994e-02,7.497573643922805786e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.367176622152328491e-01,-6.908358633518218994e-02,7.497573643922805786e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.727227985858917236e-02,-5.100841075181961060e-02,-2.073360607028007507e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.727227985858917236e-02,-5.100841075181961060e-02,-2.073360607028007507e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.727227985858917236e-02,-5.100841075181961060e-02,-2.073360607028007507e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.727227985858917236e-02,-5.100841075181961060e-02,-2.073360607028007507e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.727227985858917236e-02,-5.100841075181961060e-02,-2.073360607028007507e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.283859759569168091e-01,-1.183847635984420776e-01,-5.033361911773681641e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.283859759569168091e-01,-1.183847635984420776e-01,-5.033361911773681641e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.283859759569168091e-01,-1.183847635984420776e-01,-5.033361911773681641e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.283859759569168091e-01,-1.183847635984420776e-01,-5.033361911773681641e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.283859759569168091e-01,-1.183847635984420776e-01,-5.033361911773681641e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.304918527603149414e-01,8.946548402309417725e-02,-8.676891773939132690e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.304918527603149414e-01,8.946548402309417725e-02,-8.676891773939132690e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.304918527603149414e-01,8.946548402309417725e-02,-8.676891773939132690e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.304918527603149414e-01,8.946548402309417725e-02,-8.676891773939132690e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.304918527603149414e-01,8.946548402309417725e-02,-8.676891773939132690e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.191831082105636597e-01,1.015666425228118896e-01,-1.305579841136932373e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.191831082105636597e-01,1.015666425228118896e-01,-1.305579841136932373e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.191831082105636597e-01,1.015666425228118896e-01,-1.305579841136932373e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.191831082105636597e-01,1.015666425228118896e-01,-1.305579841136932373e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.191831082105636597e-01,1.015666425228118896e-01,-1.305579841136932373e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.472991347312927246e-01,-7.897672057151794434e-02,7.348375767469406128e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.472991347312927246e-01,-7.897672057151794434e-02,7.348375767469406128e-02
