Roll Rate,Pitch Rate,Yaw Rate
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.159995448401722473e-02,1.767263628684514684e-02,-1.041355264471040876e+00
-9.010109208759725305e-03,1.371122928012396235e-02,-8.099429834887084123e-01
-1.157472907318153783e-02,1.759368024139402673e-02,-1.041355264514701062e+00
-1.413560161029215473e-02,2.145527844718543575e-02,-1.272767545586657834e+00
-1.669303800519464365e-02,2.529320844914892050e-02,-1.504179826741031789e+00
1.270706680326783578e-01,-8.731009912314378896e-02,-9.735505812858335162e+00
1.689346995560164419e-02,2.315664283940184563e-03,-4.091981465802543738e+00
1.882844139331638425e-02,2.628598617100474238e-03,-4.573391049378358275e+00
2.074828439905882990e-02,2.955109366880378109e-03,-5.054800632565236818e+00
2.265182601088459174e-02,3.296569505164780728e-03,-5.536210215231617937e+00
-6.274236126483693221e-01,6.882831690605253350e-01,4.123261311391294726e+01
-7.613961059291431133e-02,1.118314003914291227e-01,1.049824404466558114e+00
-8.143903746568080526e-02,1.197764048134385834e-01,1.127589180757901266e+00
-8.667305146471898647e-02,1.276588658872935822e-01,1.205353959170785139e+00
-9.183827256822292562e-02,1.354758120016150702e-01,1.283118740164440608e+00
9.527991062463391225e-01,-6.105780177006487480e-02,-1.206628637283742478e+01
1.477701984057345173e-02,1.276468600706480439e-01,-9.470139440863038771e-02
1.550499796727274754e-02,1.340013292233049602e-01,-9.982039029043203449e-02
1.622294927502668585e-02,1.402790984795275753e-01,-1.049393865997453462e-01
1.693050019710231821e-02,1.464773308070958513e-01,-1.100583834010329942e-01
-1.579127007367717994e-01,-1.654949606727877942e+00,-2.661899100962177300e+01
3.243357549010105270e-03,3.044887188315825634e-03,-2.475077537161668229e+00
3.360207723638848967e-03,3.163912365645234637e-03,-2.580399985547177089e+00
3.474661747684628602e-03,3.281768711785331642e-03,-2.685722433931952757e+00
3.586650630843523941e-03,3.398419895116292031e-03,-2.791044882315973918e+00
8.254558771096046632e-01,3.341333810960562367e+00,-3.785213959553338725e+01
5.531768351319851090e-02,2.371987348454764055e-01,-5.543119213601044315e+00
5.612311896162226060e-02,2.443092792350415321e-01,-5.737615081101187897e+00
5.682251552712371673e-02,2.513052426026181063e-01,-5.932111026572350454e+00
5.741383261129110599e-02,2.581835313834580647e-01,-6.126607057394128475e+00
-5.923408445961158009e+00,-4.063702482141794192e+00,-4.781671669787953505e+01
-2.803217824164323524e-01,5.309577411306398015e-03,-9.068577529105303014e+00
-2.868399711547550690e-01,3.867433023544124965e-03,-9.339280035166908078e+00
-2.932055858847280594e-01,2.302663104347115949e-03,-9.609982358996193241e+00
-2.994148673404736782e-01,6.141556293109973197e-04,-9.880684487255630088e+00
-2.876580822863498810e+00,-1.418331014593576800e-01,3.332754843633694577e+02
