Roll Rate,Pitch Rate,Yaw Rate
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.948324917125091579e-02,1.324011995973249818e-02,6.122356292116692966e-01
2.288553437005083624e-02,1.026874887570465925e-02,4.761832671388201432e-01
2.938007971261940091e-02,1.317187822429960638e-02,6.122356291111763493e-01
3.585051521435715649e-02,1.605599256253004842e-02,7.482879909772026661e-01
4.229447165388919988e-02,1.891824932521177227e-02,8.843403526517092939e-01
-9.869595641609617276e-02,-1.167138789541657812e-01,-1.096966969201696074e+01
1.618428337108900744e-02,-1.184714583042335151e-02,-2.028415249677889332e+00
1.806041218304322432e-02,-1.318635249336590036e-02,-2.267052337738803658e+00
1.992947875083144610e-02,-1.450918530842988143e-02,-2.505689425714685559e+00
2.179113277378714325e-02,-1.581428966727410623e-02,-2.744326513575467974e+00
-7.976702595551397046e-01,1.197948027418088035e+00,2.736860257588343615e+01
-1.035990363846985146e-01,1.734797498253101700e-01,1.627466145995638769e+00
-1.107313522946125200e-01,1.858331524576765093e-01,1.748019218848212430e+00
-1.177583320655756494e-01,1.980953864125846176e-01,1.868572301200810415e+00
-1.246743866040862098e-01,2.102621569199779883e-01,1.989125395115676209e+00
2.148335985752515498e+00,-1.450427635487714140e+00,-2.062452904748456461e+01
1.152380247542312691e-01,4.649639213005528349e-02,-3.659589664363735451e-01
1.209633608086206208e-01,4.883706655740525926e-02,-3.857405279391566411e-01
1.266177371034736265e-01,5.115370443645409632e-02,-4.055220883005756782e-01
1.321985236920442675e-01,5.344542535938856531e-02,-4.253036473492372016e-01
-4.487337112555037422e+00,-2.953469691176732415e+00,-2.879309467611277995e+01
-2.527623729610035119e-01,-2.040509922350476624e-01,-2.983498670964307209e+00
-2.618560935188987693e-01,-2.121612603155083321e-01,-3.110455972400099967e+00
-2.707613877125584767e-01,-2.202085367002458993e-01,-3.237413256749948953e+00
-2.794727899365044288e-01,-2.281907534599770249e-01,-3.364370522451048728e+00
5.292324019830714654e+00,7.644791628520485993e+00,-8.039898232710098114e+01
