Roll Rate,Pitch Rate,Yaw Rate
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.467893514475626313e-02,-3.133837166779647812e-03,-6.324700355263394025e-01
-1.139174305734032971e-02,-2.435859507031864265e-03,-4.919211387348094155e-01
-1.462149068877647250e-02,-3.131378930293427561e-03,-6.324700354956025450e-01
-1.783696282050498128e-02,-3.827514921002012245e-03,-7.730189322239237049e-01
-2.103648623841596066e-02,-4.524706226131599424e-03,-9.135678288938412495e-01
1.863176380303242230e-01,2.084127260276184834e-02,1.224089554477260755e+01
2.817712107668966445e-02,9.097432586456325474e-04,2.336822010584771458e+00
3.141660424730945145e-02,9.696924997284330850e-04,2.611742246095626108e+00
3.463495339846289767e-02,1.014312136970961986e-03,2.886662480975676903e+00
3.783068397019686419e-02,1.042118601322404277e-03,3.161582715009874978e+00
-2.346090531663729828e-01,-1.808305853429922616e-01,-4.171945560385488960e+01
8.629961079871029724e-04,-2.730090098092877518e-02,-3.502842380490228447e+00
9.850670357123363606e-04,-2.922618191960671408e-02,-3.762312188528643464e+00
1.119277716159960447e-03,-3.113311525772500740e-02,-4.021781997347228632e+00
1.266354109958784833e-03,-3.302075528381774594e-02,-4.281251807110897367e+00
-1.227985052637684538e+00,-2.015918425142073089e-01,4.241217313667139166e+01
-1.364488315241088878e-01,-5.517289758078559869e-02,5.617132108528828383e-01
-1.432599124516107103e-01,-5.787128432201615186e-02,5.920760779890801295e-01
-1.499917582098003466e-01,-6.052927669027794583e-02,6.224389426649483692e-01
-1.566414409680014219e-01,-6.314536206444149036e-02,6.528018045073941122e-01
4.716803994734589445e+00,3.878969359535379358e+00,-9.734004934342064530e+01
